BIN,numb.stalks,leaf.ht.mm,inflo.ht.mm,BA.cm2,site,sum.glumes,spp.code,spp,seeds_per_glume
placeholder,36,99999,36,5.82,Fort Valley,3,CARGEO,white mountain sedge,3
placeholder,0,99999,0,7.98,Fort Valley,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,8.9,Fort Valley,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,4.69,Fort Valley,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,8.25,Fort Valley,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,8.49,Fort Valley,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,7.16,Fort Valley,0,CARGEO,white mountain sedge,3
placeholder,33,99999,33,14.82,Fort Valley,2,CARGEO,white mountain sedge,3
placeholder,0,99999,0,5.73,Fort Valley,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,6.21,Fort Valley,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,14.32,Fort Valley,0,CARGEO,white mountain sedge,3
placeholder,27,99999,27,16.11,Fort Valley,4,CARGEO,white mountain sedge,3
placeholder,0,99999,0,20.32,Fort Valley,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,19.34,Fort Valley,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,10.55,Fort Valley,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,15.88,Fort Valley,0,CARGEO,white mountain sedge,3
placeholder,21,99999,21,23.51,Fort Valley,4,CARGEO,white mountain sedge,3
placeholder,57,99999,57,15.26,Fort Valley,8,CARGEO,white mountain sedge,3
placeholder,19,99999,19,14.88,Fort Valley,1,CARGEO,white mountain sedge,3
placeholder,0,99999,0,17.38,Fort Valley,0,CARGEO,white mountain sedge,3
placeholder,27,99999,27,37.71,Fort Valley,15,CARGEO,white mountain sedge,3
placeholder,22,99999,22,22.74,Fort Valley,3,CARGEO,white mountain sedge,3
placeholder,28,99999,28,26.57,Fort Valley,2,CARGEO,white mountain sedge,3
placeholder,0,99999,0,23.65,Fort Valley,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,18.86,Fort Valley,0,CARGEO,white mountain sedge,3
placeholder,30,99999,30,23.04,Fort Valley,5,CARGEO,white mountain sedge,3
placeholder,35,99999,35,24.93,Fort Valley,5,CARGEO,white mountain sedge,3
placeholder,10,99999,10,19.65,Fort Valley,3,CARGEO,white mountain sedge,3
placeholder,16,99999,16,27.66,Fort Valley,1,CARGEO,white mountain sedge,3
placeholder,47,99999,47,28.66,Fort Valley,3,CARGEO,white mountain sedge,3
placeholder,17,99999,17,48.59,Fort Valley,1,CARGEO,white mountain sedge,3
placeholder,29,99999,29,114.27,Fort Valley,10,CARGEO,white mountain sedge,3
placeholder,43,99999,43,86.42,Fort Valley,24,CARGEO,white mountain sedge,3
placeholder,48,99999,48,57.02,Fort Valley,12,CARGEO,white mountain sedge,3
placeholder,53,99999,53,97.08,Fort Valley,5,CARGEO,white mountain sedge,3
placeholder,26,99999,26,1.62,Reese Tank,1,CARGEO,white mountain sedge,3
placeholder,38,99999,38,2.38,Reese Tank,2,CARGEO,white mountain sedge,3
placeholder,0,99999,0,0.87,Reese Tank,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,1.38,Reese Tank,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,2.71,Reese Tank,0,CARGEO,white mountain sedge,3
placeholder,19,99999,19,14.19,Reese Tank,2,CARGEO,white mountain sedge,3
placeholder,0,99999,0,10.05,Reese Tank,0,CARGEO,white mountain sedge,3
placeholder,25,99999,25,9.88,Reese Tank,1,CARGEO,white mountain sedge,3
placeholder,27,99999,27,4.31,Reese Tank,3,CARGEO,white mountain sedge,3
placeholder,0,99999,0,3.37,Reese Tank,0,CARGEO,white mountain sedge,3
placeholder,7,99999,7,5.55,Reese Tank,1,CARGEO,white mountain sedge,3
placeholder,34,99999,34,3.18,Reese Tank,1,CARGEO,white mountain sedge,3
placeholder,0,99999,0,4.89,Reese Tank,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,7.38,Reese Tank,0,CARGEO,white mountain sedge,3
placeholder,33,99999,33,11.95,Reese Tank,1,CARGEO,white mountain sedge,3
placeholder,20,99999,20,29.38,Reese Tank,3,CARGEO,white mountain sedge,3
placeholder,0,99999,0,13.37,Reese Tank,0,CARGEO,white mountain sedge,3
placeholder,42,99999,42,14.81,Reese Tank,2,CARGEO,white mountain sedge,3
placeholder,27,99999,27,23.89,Reese Tank,1,CARGEO,white mountain sedge,3
placeholder,0,99999,0,15.55,Reese Tank,0,CARGEO,white mountain sedge,3
placeholder,22,99999,22,13.6,Reese Tank,1,CARGEO,white mountain sedge,3
placeholder,0,99999,0,9.74,Reese Tank,0,CARGEO,white mountain sedge,3
placeholder,31,99999,31,11.51,Reese Tank,2,CARGEO,white mountain sedge,3
placeholder,0,99999,0,16.08,Reese Tank,0,CARGEO,white mountain sedge,3
placeholder,30,99999,30,15.31,Reese Tank,3,CARGEO,white mountain sedge,3
placeholder,0,99999,0,42.92,Reese Tank,0,CARGEO,white mountain sedge,3
placeholder,32,99999,32,35.01,Reese Tank,4,CARGEO,white mountain sedge,3
placeholder,37,99999,37,13.78,Reese Tank,3,CARGEO,white mountain sedge,3
placeholder,37,99999,37,44.24,Reese Tank,5,CARGEO,white mountain sedge,3
placeholder,35,99999,35,64.53,Reese Tank,3,CARGEO,white mountain sedge,3
placeholder,40,99999,40,22.8,Reese Tank,3,CARGEO,white mountain sedge,3
placeholder,0,99999,0,33.89,Reese Tank,0,CARGEO,white mountain sedge,3
placeholder,34,99999,34,26.74,Reese Tank,3,CARGEO,white mountain sedge,3
placeholder,54,99999,54,42.02,Reese Tank,5,CARGEO,white mountain sedge,3
placeholder,29,99999,29,25.17,Reese Tank,7,CARGEO,white mountain sedge,3
placeholder,42,99999,42,208.29,Reese Tank,26,CARGEO,white mountain sedge,3
placeholder,37,99999,37,120.9,Reese Tank,2,CARGEO,white mountain sedge,3
placeholder,34,99999,34,180.4,Reese Tank,11,CARGEO,white mountain sedge,3
placeholder,30,99999,30,81.38,Reese Tank,7,CARGEO,white mountain sedge,3
placeholder,0,99999,0,34.1,Reese Tank,0,CARGEO,white mountain sedge,3
placeholder,63,99999,63,18.63593,Rogers Lake,8,CARGEO,white mountain sedge,3
placeholder,0,99999,0,0.56,Rogers Lake,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,2.15,Rogers Lake,0,CARGEO,white mountain sedge,3
placeholder,36,99999,36,3.68,Rogers Lake,1,CARGEO,white mountain sedge,3
placeholder,0,99999,0,0.46,Rogers Lake,0,CARGEO,white mountain sedge,3
placeholder,50,99999,50,43.52467,Rogers Lake,10,CARGEO,white mountain sedge,3
placeholder,0,99999,0,11.32,Rogers Lake,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,14.4,Rogers Lake,0,CARGEO,white mountain sedge,3
placeholder,40,99999,40,6,Rogers Lake,1,CARGEO,white mountain sedge,3
placeholder,25,99999,25,3.06,Rogers Lake,1,CARGEO,white mountain sedge,3
placeholder,0,99999,0,4.47,Rogers Lake,0,CARGEO,white mountain sedge,3
placeholder,27,99999,27,7.76,Rogers Lake,2,CARGEO,white mountain sedge,3
placeholder,40,99999,40,6.5,Rogers Lake,1,CARGEO,white mountain sedge,3
placeholder,61,99999,61,6.09,Rogers Lake,1,CARGEO,white mountain sedge,3
placeholder,50,99999,50,3.41,Rogers Lake,1,CARGEO,white mountain sedge,3
placeholder,53,99999,53,78.76578,Rogers Lake,12,CARGEO,white mountain sedge,3
placeholder,40,99999,40,67.0705,Rogers Lake,10,CARGEO,white mountain sedge,3
placeholder,0,99999,0,17.16,Rogers Lake,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,19.8,Rogers Lake,0,CARGEO,white mountain sedge,3
placeholder,32,99999,32,21.41,Rogers Lake,3,CARGEO,white mountain sedge,3
placeholder,24,99999,24,14.68,Rogers Lake,1,CARGEO,white mountain sedge,3
placeholder,36,99999,36,13.17,Rogers Lake,5,CARGEO,white mountain sedge,3
placeholder,25,99999,25,6.21,Rogers Lake,3,CARGEO,white mountain sedge,3
placeholder,22,99999,22,14.89,Rogers Lake,3,CARGEO,white mountain sedge,3
placeholder,34,99999,34,11,Rogers Lake,4,CARGEO,white mountain sedge,3
placeholder,56,99999,56,100.5542,Rogers Lake,10,CARGEO,white mountain sedge,3
placeholder,49,99999,49,53.79,Rogers Lake,17,CARGEO,white mountain sedge,3
placeholder,0,99999,0,29.48,Rogers Lake,0,CARGEO,white mountain sedge,3
placeholder,43,99999,43,68.99,Rogers Lake,19,CARGEO,white mountain sedge,3
placeholder,34,99999,34,52.56,Rogers Lake,8,CARGEO,white mountain sedge,3
placeholder,38,99999,38,39.79,Rogers Lake,7,CARGEO,white mountain sedge,3
placeholder,0,99999,0,40.87,Rogers Lake,0,CARGEO,white mountain sedge,3
placeholder,32,99999,32,47.44,Rogers Lake,5,CARGEO,white mountain sedge,3
placeholder,49,99999,49,37.93,Rogers Lake,9,CARGEO,white mountain sedge,3
placeholder,50,99999,50,52.16,Rogers Lake,6,CARGEO,white mountain sedge,3
placeholder,49,99999,49,194.13,Rogers Lake,14,CARGEO,white mountain sedge,3
placeholder,0,99999,0,199.06,Rogers Lake,0,CARGEO,white mountain sedge,3
placeholder,46,99999,46,131.82,Rogers Lake,30,CARGEO,white mountain sedge,3
placeholder,45,99999,45,120.33,Rogers Lake,35,CARGEO,white mountain sedge,3
placeholder,50,99999,50,150.04,Rogers Lake,26,CARGEO,white mountain sedge,3
placeholder,0,99999,0,2.75,Government Knolls,0,CARGEO,white mountain sedge,3
placeholder,52,99999,52,2.57,Government Knolls,2,CARGEO,white mountain sedge,3
placeholder,0,99999,0,3.04,Government Knolls,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,1.08,Government Knolls,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,1.86,Government Knolls,0,CARGEO,white mountain sedge,3
placeholder,24,99999,24,34.77448,Government Knolls,6,CARGEO,white mountain sedge,3
placeholder,24,99999,24,17.09284,Government Knolls,2,CARGEO,white mountain sedge,3
placeholder,33,99999,33,17.02683,Government Knolls,5,CARGEO,white mountain sedge,3
placeholder,40,99999,40,29.14986,Government Knolls,7,CARGEO,white mountain sedge,3
placeholder,0,99999,0,4.94,Government Knolls,0,CARGEO,white mountain sedge,3
placeholder,32,99999,32,6.95,Government Knolls,2,CARGEO,white mountain sedge,3
placeholder,24,99999,24,9.58,Government Knolls,3,CARGEO,white mountain sedge,3
placeholder,30,99999,30,5.09,Government Knolls,4,CARGEO,white mountain sedge,3
placeholder,20,99999,20,14.48,Government Knolls,1,CARGEO,white mountain sedge,3
placeholder,15,99999,15,9.48,Government Knolls,1,CARGEO,white mountain sedge,3
placeholder,42,99999,42,27.71,Government Knolls,9,CARGEO,white mountain sedge,3
placeholder,39,99999,39,18.09,Government Knolls,4,CARGEO,white mountain sedge,3
placeholder,39,99999,39,18.14,Government Knolls,12,CARGEO,white mountain sedge,3
placeholder,45,99999,45,20.06,Government Knolls,3,CARGEO,white mountain sedge,3
placeholder,32,99999,32,17.37,Government Knolls,6,CARGEO,white mountain sedge,3
placeholder,25,99999,25,11.09,Government Knolls,3,CARGEO,white mountain sedge,3
placeholder,28,99999,28,15.26,Government Knolls,10,CARGEO,white mountain sedge,3
placeholder,12,99999,12,15.15,Government Knolls,2,CARGEO,white mountain sedge,3
placeholder,19,99999,19,18.5,Government Knolls,2,CARGEO,white mountain sedge,3
placeholder,32,99999,32,17.06,Government Knolls,4,CARGEO,white mountain sedge,3
placeholder,31,99999,31,90.60508,Government Knolls,9,CARGEO,white mountain sedge,3
placeholder,51,99999,51,26.77,Government Knolls,5,CARGEO,white mountain sedge,3
placeholder,23,99999,23,46.39,Government Knolls,4,CARGEO,white mountain sedge,3
placeholder,30,99999,30,21.24,Government Knolls,4,CARGEO,white mountain sedge,3
placeholder,42,99999,42,25.38,Government Knolls,12,CARGEO,white mountain sedge,3
placeholder,44,99999,44,42.64,Government Knolls,11,CARGEO,white mountain sedge,3
placeholder,31,99999,31,37.55,Government Knolls,3,CARGEO,white mountain sedge,3
placeholder,36,99999,36,22.91,Government Knolls,6,CARGEO,white mountain sedge,3
placeholder,43,99999,43,21.88,Government Knolls,5,CARGEO,white mountain sedge,3
placeholder,27,99999,27,39.33,Government Knolls,3,CARGEO,white mountain sedge,3
placeholder,42,99999,42,97.17,Government Knolls,37,CARGEO,white mountain sedge,3
placeholder,26,99999,26,53.16,Government Knolls,11,CARGEO,white mountain sedge,3
placeholder,40,99999,40,83.41,Government Knolls,26,CARGEO,white mountain sedge,3
placeholder,35,99999,35,41.14,Government Knolls,13,CARGEO,white mountain sedge,3
placeholder,26,99999,26,73.91,Government Knolls,12,CARGEO,white mountain sedge,3
placeholder,0,99999,0,0.44498,Kendrick Panel,0,CARGEO,white mountain sedge,3
placeholder,10,99999,10,3.246566,Kendrick Panel,1,CARGEO,white mountain sedge,3
placeholder,27,99999,27,3.71,Kendrick Panel,2,CARGEO,white mountain sedge,3
placeholder,40,99999,40,2.98,Kendrick Panel,1,CARGEO,white mountain sedge,3
placeholder,0,99999,0,4.24,Kendrick Panel,0,CARGEO,white mountain sedge,3
placeholder,36,99999,36,18.21128,Kendrick Panel,9,CARGEO,white mountain sedge,3
placeholder,32,99999,32,10.28,Kendrick Panel,3,CARGEO,white mountain sedge,3
placeholder,0,99999,0,6.52,Kendrick Panel,0,CARGEO,white mountain sedge,3
placeholder,44,99999,44,10.27,Kendrick Panel,1,CARGEO,white mountain sedge,3
placeholder,46,99999,46,10.73,Kendrick Panel,1,CARGEO,white mountain sedge,3
placeholder,19,99999,19,6.38,Kendrick Panel,3,CARGEO,white mountain sedge,3
placeholder,0,99999,0,5.8,Kendrick Panel,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,8.27,Kendrick Panel,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,8.82,Kendrick Panel,0,CARGEO,white mountain sedge,3
placeholder,27,99999,27,4.28,Kendrick Panel,1,CARGEO,white mountain sedge,3
placeholder,42,99999,42,50.35437,Kendrick Panel,5,CARGEO,white mountain sedge,3
placeholder,36,99999,36,41.34464,Kendrick Panel,11,CARGEO,white mountain sedge,3
placeholder,51,99999,51,43.92865,Kendrick Panel,10,CARGEO,white mountain sedge,3
placeholder,30,99999,30,20.08,Kendrick Panel,10,CARGEO,white mountain sedge,3
placeholder,29,99999,29,17.1,Kendrick Panel,2,CARGEO,white mountain sedge,3
placeholder,39,99999,39,13.92,Kendrick Panel,1,CARGEO,white mountain sedge,3
placeholder,36,99999,36,28.19,Kendrick Panel,2,CARGEO,white mountain sedge,3
placeholder,21,99999,21,16.8,Kendrick Panel,2,CARGEO,white mountain sedge,3
placeholder,25,99999,25,24.4,Kendrick Panel,3,CARGEO,white mountain sedge,3
placeholder,0,99999,0,20.99,Kendrick Panel,0,CARGEO,white mountain sedge,3
placeholder,37,99999,37,62.38999,Kendrick Panel,2,CARGEO,white mountain sedge,3
placeholder,0,99999,0,50.08,Kendrick Panel,0,CARGEO,white mountain sedge,3
placeholder,39,99999,39,40.63,Kendrick Panel,7,CARGEO,white mountain sedge,3
placeholder,15,99999,15,45.49,Kendrick Panel,4,CARGEO,white mountain sedge,3
placeholder,40,99999,40,30.64,Kendrick Panel,1,CARGEO,white mountain sedge,3
placeholder,42,99999,42,35.42,Kendrick Panel,5,CARGEO,white mountain sedge,3
placeholder,33,99999,33,33.67,Kendrick Panel,1,CARGEO,white mountain sedge,3
placeholder,31,99999,31,28.58,Kendrick Panel,5,CARGEO,white mountain sedge,3
placeholder,26,99999,26,20.98,Kendrick Panel,1,CARGEO,white mountain sedge,3
placeholder,42,99999,42,30.75,Kendrick Panel,7,CARGEO,white mountain sedge,3
placeholder,120,99999,120,72.6,Kendrick Panel,1,CARGEO,white mountain sedge,3
placeholder,38,99999,38,50.32,Kendrick Panel,9,CARGEO,white mountain sedge,3
placeholder,22,99999,22,57.53,Kendrick Panel,6,CARGEO,white mountain sedge,3
placeholder,26,99999,26,116.11,Kendrick Panel,14,CARGEO,white mountain sedge,3
placeholder,48,99999,48,91.16,Kendrick Panel,10,CARGEO,white mountain sedge,3
placeholder,0,99999,0,1.71,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,1.54,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,4.61,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,0.98,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,1.13,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,37,99999,37,28.53772,SI Panel,22,CARGEO,white mountain sedge,3
placeholder,0,99999,0,12.74,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,9.16,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,9.29,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,2.25,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,7.72,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,34,99999,34,6.22,SI Panel,3,CARGEO,white mountain sedge,3
placeholder,39,99999,39,7.43,SI Panel,1,CARGEO,white mountain sedge,3
placeholder,0,99999,0,9.02,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,6.31,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,50,99999,50,45.31497,SI Panel,12,CARGEO,white mountain sedge,3
placeholder,65,99999,65,41.17932,SI Panel,16,CARGEO,white mountain sedge,3
placeholder,53,99999,53,48.10176,SI Panel,11,CARGEO,white mountain sedge,3
placeholder,0,99999,0,26.12,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,34,99999,34,19.38,SI Panel,8,CARGEO,white mountain sedge,3
placeholder,37,99999,37,17.68,SI Panel,3,CARGEO,white mountain sedge,3
placeholder,0,99999,0,21.16,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,17.6,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,55,99999,55,23.7,SI Panel,2,CARGEO,white mountain sedge,3
placeholder,75,99999,75,15.95,SI Panel,1,CARGEO,white mountain sedge,3
placeholder,45,99999,45,178.2586,SI Panel,41,CARGEO,white mountain sedge,3
placeholder,19,99999,19,25.67,SI Panel,2,CARGEO,white mountain sedge,3
placeholder,0,99999,0,35.47,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,29.06,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,32,99999,32,33.69,SI Panel,4,CARGEO,white mountain sedge,3
placeholder,40,99999,40,23.54,SI Panel,4,CARGEO,white mountain sedge,3
placeholder,39,99999,39,34.69,SI Panel,4,CARGEO,white mountain sedge,3
placeholder,42,99999,42,28.1,SI Panel,6,CARGEO,white mountain sedge,3
placeholder,25,99999,25,22.32,SI Panel,4,CARGEO,white mountain sedge,3
placeholder,30,99999,30,20.33,SI Panel,2,CARGEO,white mountain sedge,3
placeholder,0,99999,0,70.34,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,45.99,SI Panel,0,CARGEO,white mountain sedge,3
placeholder,67,99999,67,127.01,SI Panel,1,CARGEO,white mountain sedge,3
placeholder,21,99999,21,138.29,SI Panel,5,CARGEO,white mountain sedge,3
placeholder,24,99999,24,76.43,SI Panel,9,CARGEO,white mountain sedge,3
placeholder,0,99999,0,1.69,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,3.19,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,0.82,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,1.75,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,1.93,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,21,99999,21,6.08,Nordic Center,2,CARGEO,white mountain sedge,3
placeholder,31,99999,31,9.72,Nordic Center,4,CARGEO,white mountain sedge,3
placeholder,18,99999,18,11.66,Nordic Center,2,CARGEO,white mountain sedge,3
placeholder,0,99999,0,4.38,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,5.97,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,6.54,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,5.65,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,6.95,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,20,99999,20,6.24,Nordic Center,1,CARGEO,white mountain sedge,3
placeholder,0,99999,0,5.96,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,0,99999,0,14.28,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,35,99999,35,13.65,Nordic Center,6,CARGEO,white mountain sedge,3
placeholder,54,99999,54,12.65,Nordic Center,2,CARGEO,white mountain sedge,3
placeholder,0,99999,0,13.62,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,24,99999,24,12.49,Nordic Center,4,CARGEO,white mountain sedge,3
placeholder,0,99999,0,13.43,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,19,99999,19,14.43,Nordic Center,5,CARGEO,white mountain sedge,3
placeholder,20,99999,20,14.98,Nordic Center,1,CARGEO,white mountain sedge,3
placeholder,18,99999,18,15.48,Nordic Center,3,CARGEO,white mountain sedge,3
placeholder,0,99999,0,14.35,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,52,99999,52,27.7,Nordic Center,4,CARGEO,white mountain sedge,3
placeholder,40,99999,40,22.7,Nordic Center,3,CARGEO,white mountain sedge,3
placeholder,0,99999,0,23.4,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,21,99999,21,28.01,Nordic Center,1,CARGEO,white mountain sedge,3
placeholder,0,99999,0,20.21,Nordic Center,0,CARGEO,white mountain sedge,3
placeholder,29,99999,29,31.78,Nordic Center,2,CARGEO,white mountain sedge,3
placeholder,26,99999,26,28.41,Nordic Center,1,CARGEO,white mountain sedge,3
placeholder,41,99999,41,25.72,Nordic Center,2,CARGEO,white mountain sedge,3
placeholder,16,99999,16,31.25,Nordic Center,1,CARGEO,white mountain sedge,3
placeholder,23,99999,23,34.89,Nordic Center,5,CARGEO,white mountain sedge,3
placeholder,19,99999,19,47.62,Nordic Center,13,CARGEO,white mountain sedge,3
placeholder,30,99999,30,160.14,Nordic Center,20,CARGEO,white mountain sedge,3
placeholder,32,99999,32,43.8,Nordic Center,16,CARGEO,white mountain sedge,3
placeholder,92,99999,92,153.55,Nordic Center,20,CARGEO,white mountain sedge,3
placeholder,31,99999,31,54.87,Nordic Center,4,CARGEO,white mountain sedge,3
